transcriptID_trim,log2FoldChange
TRINITY_DN149746_c0_g1,0.79941009
TRINITY_DN124958_c0_g1,0.881285889
TRINITY_DN131990_c0_g3,-2.77660061
TRINITY_DN134156_c0_g3,-1.310819157
TRINITY_DN138623_c1_g2,-0.908410572
TRINITY_DN148973_c3_g21,1.337663499
TRINITY_DN150480_c4_g13,-0.780783221
TRINITY_DN136932_c13_g13,1.372859794
TRINITY_DN141002_c2_g8,0.745285963
TRINITY_DN150435_c20_g1,-1.279902293
TRINITY_DN126826_c0_g1,0.85998019
TRINITY_DN149765_c1_g2,-0.991246587
TRINITY_DN144600_c0_g1,1.249038392
TRINITY_DN128796_c0_g1,2.018323035
TRINITY_DN145613_c0_g24,-1.429809784
TRINITY_DN137314_c0_g5,-0.972861944
TRINITY_DN127095_c1_g1,0.46043007
TRINITY_DN145490_c0_g10,1.434514428
TRINITY_DN139603_c1_g11,0.97561111
TRINITY_DN147430_c0_g13,-0.873637736
TRINITY_DN134005_c0_g1,0.558162207
TRINITY_DN137646_c0_g5,-0.465012629
TRINITY_DN141931_c0_g1,0.883090299
TRINITY_DN146875_c0_g13,-0.749463055
TRINITY_DN114962_c0_g3,-1.070777992
TRINITY_DN150049_c0_g7,0.622564383
TRINITY_DN144688_c0_g1,1.036414481
TRINITY_DN133451_c2_g1,-0.479920714
TRINITY_DN135466_c2_g6,1.178577184
TRINITY_DN146877_c0_g2,0.905578212
TRINITY_DN85358_c0_g1,0.950840034
TRINITY_DN114974_c0_g1,1.473700926
TRINITY_DN143116_c0_g4,1.030667728
TRINITY_DN142702_c2_g6,1.349589015
TRINITY_DN131683_c0_g1,1.976640882
TRINITY_DN149296_c6_g12,0.871665535
TRINITY_DN137014_c2_g1,1.429326264
TRINITY_DN137212_c0_g1,-1.105825835
TRINITY_DN137748_c0_g4,1.513346491
TRINITY_DN143163_c1_g8,-1.453243217
TRINITY_DN143670_c0_g1,1.128390656
TRINITY_DN149993_c0_g1,1.339372951
TRINITY_DN125695_c0_g1,-2.09343014
TRINITY_DN150171_c3_g8,-1.520477639
TRINITY_DN141422_c7_g22,-0.832236662
